galaxy M_GCS M_gal M_GC_max M_GC_max_2nd M_GC_min M_GC_lim Reff M_NSC
IC2006 83982445.17 24139985227.819355 4681771.41 3217835.47 76185.57 7583325.540835675 1.9191150002616943 150946262.06352702
FCC63 188195141.58 26759993277.82651 12161175.37 11735634.07 53759.07 7457684.389565176 1.8238663048311667 2292556532.030979
FCC193 25902869.09 33199993601.17654 4874300.89 1862243.95 54517.21 9631572.542996619 2.0366528064986813 140751933.65912998
FCC170 39005090.67 22500024965.779705 6728381.37 4812162.5 58516.19 4383153.700764924 1.3071035675471006 282334938.9684149
FCC153 22443838.67 7600000135.083421 2087799.17 1276174.74 58802.16 2136496.078429841 1.1449834255508324 19401494.7160908
FCC177 36538120.26 8499999496.720563 2888114.19 2641105.59 43186.95 2611035.6407382055 1.276706295750905 67459774.92931288
FCC47 178202140.84 9329999060.188805 5148181.21 3613529.94 51651.56 8757745.087696863 3.039778927240773 552779447.806759
FCC43 13610337.3 2990000080.383149 3421034.65 2597109.1 55902.78 3065573.265609983 2.1278450530169084 4426703.4706531735
FCC190 76610046.32 5400000499.559612 6473409.72 3382945.45 51592.81 2933575.027695995 1.6516118872923167 15279410.980945637
FCC310 11497956.39 5400000499.559612 1210263.28 1019804.15 59462.85 5435112.026120884 2.6142071611945816 64279801.50478275
FCC249 85607704.54 4999999950.07973 5289769.46 3320708.91 48841.24 2260351.0829059496 1.3982988484658374 8440910.6859234
FCC148 12364224.17 5800000085.966923 6879963.15 4998507.32 73190.46 5959167.599820644 2.725668279415942 233963874.03829733
FCC255 44582045.38 4999999950.07973 2909137.5 2467170.39 61499.15 2260351.0829059496 1.3982988484658374 9464485.357880501
FCC277 14381087.76 3399999866.579776 1722056.73 850626.7 42400.46 1231534.2657758428 1.0233924295616001 16660499.561141524
FCC55 9202334.25 4000000079.8724174 1274745.63 837502.93 52229.32 966097.1479163443 0.800475050100867 11550642.053317014
FCC301 5586093.22 2000000019.9681082 2474989.18 1151270.97 50368.62 1239880.7005135552 1.2564418685205292 8114621.043780148
FCC335 23164853.39 1269999938.7188525 18363851.53 1927194.72 47289.09 1041351.3874478211 1.3071035675471006 13119054.82635226
FCC136 5744914.3 1960000129.2701383 4444275.79 1424583.18 60975.75 1767373.3417182239 1.6516118872923167 8060343.685984645
FCC182 14034442.07 1500000141.416672 5669172.66 1674951.85 73126.17 960321.8270326275 1.1551160013499429 1062591.7785134732
FCC204 4577239.51 1799999978.8485675 1285118.59 734886.2 57849.93 1239743.100484006 1.3071035675471006 12854552.11252757
FCC119 1599931.38 1000000000.0 464837.04 403830.38 49561.17 905042.3462657464 1.2868383643808128 6482907.226326122
FCC90 8141106.95 1199999872.7657194 1244653.8 887079.48 80798.78 684140.1838241654 0.9727293052759474 3122905.8022170034
FCC106 20035308.48 1440000026.209962 13765910.27 7753223.39 46609.4 833126.7902786329 1.0537900655279993 6784006.079567349
FCC19 1812189.03 339999986.6579776 1509516.85 525607.74 60124.34 549953.031061539 1.3273700064454177 3933666.7906442084
FCC202 5874249.21 1080000110.6946976 20578734.66 20827492.65 54777.73 666962.1677063849 0.9929944244764406 5733440.361713133
FCC324 6334699.66 570000058.1786838 1107017.23 1018604.93 47760.41 1161976.3798637164 1.9150627108878227 561402.9391765494
FCC288 2894013.66 650000064.8917866 1453106.87 1355070.98 53856.0 517423.3220872223 0.9929944244764406 2792596.509300556
FCC303 7406031.04 519999947.7541275 2368265.05 967435.05 50823.6 707909.5969689513 1.367902048724574 12872388.752975063
FCC203 11397248.11 929999896.0264077 2931629.19 1256144.63 57559.81 900324.3579838912 1.317237239150775 1749189.522647591
FCC100 6992967.92 860000096.5486231 929640.62 547379.92 54194.21 1218984.8273278312 1.7022760934003665 3735074.263000537
VCC1720 31636784.3 20209985410.4939 4805542.68 2670812.86 54553.1 10445287.544143543 2.601411165829684 63148670.079156086
VCC1619 28484955.89 17239989619.79967 4761594.95 2504071.23 65767.75 2118023.1371369814 0.8343400671124485 200114260.23309228
VCC1883 35318426.54 16660000112.368414 7260092.01 4160487.28 33080.03 6654308.020415676 1.9990515798561006 26424093.167351387
VCC1242 62071768.95 15269998697.078735 7346826.11 7201323.97 69511.72 3770567.3276344365 1.3502991678027423 18279171.830828078
VCC784 16672724.78 16790011747.429838 2137025.36 1902888.11 59862.15 3154010.2472489513 1.1391200602908034 70534357.36809683
