galaxy M_GCS M_gal M_GC_max M_GC_max_2nd M_GC_min M_GC_lim Reff M_NSC
IC2006 83982445.17 24139985227.819355 4681771.41 3217835.47 76185.57 3370366.271536732 1.9191150002616943 150946262.06352702
FCC63 188195141.58 26759993277.82651 12161175.37 11735634.07 53759.07 3314526.533587846 1.8238663048311667 2292556532.030979
FCC193 25902869.09 33199993601.17654 4874300.89 1862243.95 54517.21 4280699.086516292 2.0366528064986813 140751933.65912998
FCC170 39005090.67 22500024965.779705 6728381.37 4812162.5 58516.19 1948068.3926912823 1.3071035675471006 282334938.9684149
FCC153 22443838.67 7600000135.083421 2087799.17 1276174.74 58802.16 949553.6335918528 1.1449834255508324 19401494.7160908
FCC177 36538120.26 8499999496.720563 2888114.19 2641105.59 43186.95 1160460.3331671588 1.276706295750905 67459774.92931288
FCC47 178202140.84 9329999060.188805 5148181.21 3613529.94 51651.56 3892331.312409206 3.039778927240773 552779447.806759
FCC43 13610337.3 2990000080.383149 3421034.65 2597109.1 55902.78 1362477.0637570845 2.1278450530169084 4426703.4706531735
FCC190 76610046.32 5400000499.559612 6473409.72 3382945.45 51592.81 1303811.1777932188 1.6516118872923167 15279410.980945637
FCC310 11497956.39 5400000499.559612 1210263.28 1019804.15 59462.85 2415605.4456804963 2.6142071611945816 64279801.50478275
FCC249 85607704.54 4999999950.07973 5289769.46 3320708.91 48841.24 1004600.5231863398 1.3982988484658374 8440910.6859234
FCC148 12364224.17 5800000085.966923 6879963.15 4998507.32 73190.46 2648519.0437046797 2.725668279415942 233963874.03829733
FCC255 44582045.38 4999999950.07973 2909137.5 2467170.39 61499.15 1004600.5231863398 1.3982988484658374 9464485.357880501
FCC277 14381087.76 3399999866.579776 1722056.73 850626.7 42400.46 547348.5853930938 1.0233924295616001 16660499.561141524
FCC55 9202334.25 4000000079.8724174 1274745.63 837502.93 52229.32 429376.5280913112 0.800475050100867 11550642.053317014
FCC301 5586093.22 2000000019.9681082 2474989.18 1151270.97 50368.62 551058.1120978852 1.2564418685205292 8114621.043780148
FCC335 23164853.39 1269999938.7188525 18363851.53 1927194.72 47289.09 462822.85816677735 1.3071035675471006 13119054.82635226
FCC136 5744914.3 1960000129.2701383 4444275.79 1424583.18 60975.75 785499.2957435161 1.6516118872923167 8060343.685984645
FCC182 14034442.07 1500000141.416672 5669172.66 1674951.85 73126.17 426809.7187026149 1.1551160013499429 1062591.7785134732
FCC204 4577239.51 1799999978.8485675 1285118.59 734886.2 57849.93 550996.9565266464 1.3071035675471006 12854552.11252757
FCC119 1599931.38 1000000000.0 464837.04 403830.38 49561.17 402240.96693999914 1.2868383643808128 6482907.226326122
FCC90 8141106.95 1199999872.7657194 1244653.8 887079.48 80798.78 304062.24658921995 0.9727293052759474 3122905.8022170034
