galaxy M_NSC M_GCS M_gal M_GC_max M_GC_min M_GC_lim Reff
IC2006 203029927.78 83982445.17 24139985227.819355 4681771.41 76185.57 3370366.271536732 1.9191150002616943
FCC63 3132659232.09 188195141.58 26759993277.82651 12161175.37 53759.07 3314526.533587846 1.8238663048311667
FCC193 202877108.44 25902869.09 33199993601.17654 4874300.89 54517.21 4280699.086516292 2.0366528064986813
FCC170 397647530.72 39005090.67 22500024965.779705 6728381.37 58516.19 1948068.3926912823 1.3071035675471006
FCC153 25581548.65 22443838.67 7600000135.083421 2087799.17 58802.16 949553.6335918528 1.1449834255508324
FCC177 88754957.26 36538120.26 8499999496.720563 2888114.19 43186.95 1160460.3331671588 1.276706295750905
FCC47 949772332.39 178202140.84 9329999060.188805 5148181.21 51651.56 3892331.312409206 3.039778927240773
FCC43 6137503.04 13610337.3 2990000080.383149 3421034.65 55902.78 1362477.0637570845 2.1278450530169084
FCC190 21566457.61 76610046.32 5400000499.559612 6473409.72 51592.81 1303811.1777932188 1.6516118872923167
FCC310 94254928.72 11497956.39 5400000499.559612 1210263.28 59462.85 2415605.4456804963 2.6142071611945816
FCC249 10824713.24 85607704.54 4999999950.07973 5289769.46 48841.24 1004600.5231863398 1.3982988484658374
FCC148 318668444.55 12364224.17 5800000085.966923 6879963.15 73190.46 2648519.0437046797 2.725668279415942
FCC255 13896834.35 44582045.38 4999999950.07973 2909137.5 61499.15 1004600.5231863398 1.3982988484658374
FCC277 23689084.12 14381087.76 3399999866.579776 1722056.73 42400.46 547348.5853930938 1.0233924295616001
FCC55 17432547.62 9202334.25 4000000079.8724174 1274745.63 52229.32 429376.5280913112 0.800475050100867
FCC301 11270081.96 5586093.22 2000000019.9681082 2474989.18 50368.62 551058.1120978852 1.2564418685205292
FCC335 19913384.79 23164853.39 1269999938.7188525 18363851.53 47289.09 462822.85816677735 1.3071035675471006
FCC136 11586175.96 5744914.3 1960000129.2701383 4444275.79 60975.75 785499.2957435161 1.6516118872923167
FCC182 1455813.48 14034442.07 1500000141.416672 5669172.66 73126.17 426809.7187026149 1.1551160013499429
FCC204 17759561.3 4577239.51 1799999978.8485675 1285118.59 57849.93 550996.9565266464 1.3071035675471006
FCC119 8661395.43 1599931.38 1000000000.0 464837.04 49561.17 402240.96693999914 1.2868383643808128
FCC90 4214193.63 8141106.95 1199999872.7657194 1244653.8 80798.78 304062.24658921995 0.9727293052759474
FCC106 10173982.26 20035308.48 1440000026.209962 13765910.27 46609.4 370278.5888988801 1.0537900655279993
FCC19 5089551.42 1812189.03 339999986.6579776 1509516.85 60124.34 244423.5795538686 1.3273700064454177
FCC202 7296889.61 5874249.21 1080000110.6946976 20578734.66 54777.73 296427.5741986554 0.9929944244764406
FCC324 744242.03 6334699.66 570000058.1786838 1107017.23 47760.41 516433.8492296144 1.9150627108878227
FCC288 3516395.27 2894013.66 650000064.8917866 1453106.87 53856.0 229965.93051791235 0.9929944244764406
FCC303 16428014.47 7406031.04 519999947.7541275 2368265.05 50823.6 314626.50066261034 1.367902048724574
FCC203 2277016.0 11397248.11 929999896.0264077 2931629.19 57559.81 400144.1757911447 1.317237239150775
