galaxy M_NSC e_M_NSC R_NSC e_R_NSC Reff M_gal e_M_gal M_GCS e_M_GCS M_GC_min e_M_GC_min M_GC_max e_M_GC_max
VCC1948 327950.95 111839.28 3.8 1.13 875.14 500000000.0 90000000.0 3167296.0 171154.4 76388.7 17756.38 815916.97 78497.61
VCC1627 89033884.38 22143532.76 15.76 1.13 298.38 1030000000.0 320000000.0 32691750.9 1105918.7 84557.82 10228.47 27379865.37 759139.15
VCC1440 34108628.67 9318117.62 4.76 1.13 619.95 1190000000.0 440000000.0 6848607.95 2319063.52 52489.41 41610.73 1227061.71 36521.73
VCC230 13296904.29 4569424.41 2.84 1.13 776.74 690000000.0 290000000.0 6800157.4 1758647.36 85480.47 10199.95 45007531.8 11582201.02
VCC2050 1557491.2 418981.26 5.56 1.13 863.94 290000000.0 260000000.0 1937092.82 938259.88 58723.53 5635.47 2079843.25 24135.22
VCC751 5341484.89 1950740.8 3.24 1.13 795.94 1410000000.0 510000000.0 2840029.69 1420827.89 133683.91 7627.05 962455.13 20938.78
VCC1828 4033720.85 1352211.25 4.68 1.13 1163.92 1260000000.0 470000000.0 6120188.7 2004913.23 74517.58 3719.08 17628354.06 12538717.85
VCC538 6237875.72 2248650.22 2.52 1.13 385.57 630000000.0 260000000.0 2243161.4 185875.2 91621.02 7236.8 843476.69 117328.94
VCC1407 10583245.19 3838255.88 10.88 1.13 813.54 1240000000.0 420000000.0 9931889.13 1984639.54 52570.3 21670.88 1248680.74 35158.61
VCC1886 2536448.27 862862.25 3.08 1.13 1008.73 510000000.0 100000000.0 2525642.51 2408063.39 117484.5 58335.18 1918900.27 61955.06
VCC1199 33710270.87 9170450.64 5.52 1.13 272.78 580000000.0 160000000.0 4541236.71 4945406.76 53708.88 17002.0 12620868.75 273791.05
VCC1539 7948661.13 2738979.92 19.84 1.13 2103.85 520000000.0 110000000.0 10180649.56 2763187.62 71118.77 10815.19 3627088.33 117406.54
VCC1185 6451817.09 2334617.36 4.28 1.13 1479.89 890000000.0 510000000.0 4065013.42 1863377.85 70932.64 50206.69 1356596.74 78126.36
VCC1826 19664279.9 6052576.83 1.96 1.13 564.76 610000000.0 220000000.0 5986385.5 270133.4 103526.76 7308.63 1801793.53 98943.3
VCC1489 1415711.91 400471.02 4.36 1.13 831.94 320000000.0 60000000.0 3185604.45 1397160.16 73289.41 26829.08 1110657.05 22369.14
VCC1661 12658246.25 4348608.74 6.44 1.13 4645.26 430000000.0 80000000.0 2239859.79 1200990.27 68947.2 5031.98 1048748.15 307912.2
