galaxy M_NSC M_GCS M_gal M_GC_max M_GC_max_2nd M_GC_min M_GC_lim Reff
IC2006 203029927.78 83982445.17 24139985227.819355 4681771.41 3217835.47 76185.57 3370366.271536732 1.9191150002616943
FCC63 3132659232.09 188195141.58 26759993277.82651 12161175.37 11735634.07 53759.07 3314526.533587846 1.8238663048311667
FCC193 202877108.44 25902869.09 33199993601.17654 4874300.89 1862243.95 54517.21 4280699.086516292 2.0366528064986813
FCC170 397647530.72 39005090.67 22500024965.779705 6728381.37 4812162.5 58516.19 1948068.3926912823 1.3071035675471006
FCC153 25581548.65 22443838.67 7600000135.083421 2087799.17 1276174.74 58802.16 949553.6335918528 1.1449834255508324
FCC177 88754957.26 36538120.26 8499999496.720563 2888114.19 2641105.59 43186.95 1160460.3331671588 1.276706295750905
FCC47 949772332.39 178202140.84 9329999060.188805 5148181.21 3613529.94 51651.56 3892331.312409206 3.039778927240773
FCC43 6137503.04 13610337.3 2990000080.383149 3421034.65 2597109.1 55902.78 1362477.0637570845 2.1278450530169084
FCC190 21566457.61 76610046.32 5400000499.559612 6473409.72 3382945.45 51592.81 1303811.1777932188 1.6516118872923167
FCC310 94254928.72 11497956.39 5400000499.559612 1210263.28 1019804.15 59462.85 2415605.4456804963 2.6142071611945816
FCC249 10824713.24 85607704.54 4999999950.07973 5289769.46 3320708.91 48841.24 1004600.5231863398 1.3982988484658374
FCC148 318668444.55 12364224.17 5800000085.966923 6879963.15 4998507.32 73190.46 2648519.0437046797 2.725668279415942
FCC255 13896834.35 44582045.38 4999999950.07973 2909137.5 2467170.39 61499.15 1004600.5231863398 1.3982988484658374
FCC277 23689084.12 14381087.76 3399999866.579776 1722056.73 850626.7 42400.46 547348.5853930938 1.0233924295616001
FCC55 17432547.62 9202334.25 4000000079.8724174 1274745.63 837502.93 52229.32 429376.5280913112 0.800475050100867
FCC301 11270081.96 5586093.22 2000000019.9681082 2474989.18 1151270.97 50368.62 551058.1120978852 1.2564418685205292
FCC335 19913384.79 23164853.39 1269999938.7188525 18363851.53 1927194.72 47289.09 462822.85816677735 1.3071035675471006
FCC136 11586175.96 5744914.3 1960000129.2701383 4444275.79 1424583.18 60975.75 785499.2957435161 1.6516118872923167
