galaxy eta eta_p eta_m f_in f_in_p f_in_m M_gal M_gal_p M_gal_m M_GC_lim M_GC_lim_p M_GC_lim_m M_cl_min M_cl_min_p M_cl_min_m M_cl_max M_cl_max_p M_cl_max_m M_GC_diss M_GC_diss_p M_GC_diss_m
VCC1695 -2.4369 0.3726 0.3589 0.4168 0.2781 0.2757 9.2612 0.2891 0.3124 6.263 0.2888 0.2862 1.4361 0.3857 0.3088 7.0102 0.5123 0.4745 4.8028 0.2939 0.2736
VCC437 -2.0712 0.4039 0.3927 0.5667 0.2586 0.3312 9.4198 0.3144 0.3036 6.4997 0.2863 0.2851 1.5481 0.3166 0.3668 7.3181 0.3361 0.4465 4.8228 0.2971 0.2888
VCC2019 -1.7042 0.3962 0.4013 0.7208 0.1852 0.3605 8.9641 0.3088 0.2892 6.9934 0.2671 0.2911 1.5304 0.3296 0.3465 7.5121 0.1996 0.2503 4.9518 0.2959 0.3086
VCC33 -1.8657 0.332 0.3586 0.3551 0.3001 0.2449 8.5981 0.2929 0.2744 5.9998 0.2802 0.2995 1.4522 0.3723 0.3223 6.7767 0.6198 0.5042 4.8502 0.29 0.3103
VCC200 -2.5248 0.358 0.3415 0.3473 0.3117 0.246 9.1028 0.306 0.289 6.0623 0.2668 0.2743 1.4488 0.365 0.2992 6.759 0.634 0.5181 4.8367 0.303 0.2798
VCC21 -1.6319 0.3965 0.3616 0.5146 0.2503 0.3158 8.7443 0.2907 0.2884 6.509 0.273 0.2932 1.5119 0.323 0.3412 7.2489 0.3846 0.4705 4.8314 0.3021 0.2972
VCC1488 -2.2224 0.3544 0.3585 0.3321 0.2996 0.2317 8.5965 0.2966 0.287 6.0994 0.2712 0.2834 1.4233 0.3686 0.3049 6.4496 0.5676 0.3604 4.762 0.2809 0.2691
VCC1779 -2.356 0.3636 0.3493 0.3933 0.2846 0.2588 9.032 0.2793 0.3098 6.1213 0.2711 0.2797 1.5227 0.3208 0.363 6.8572 0.5571 0.5324 4.9557 0.2966 0.2858
VCC1895 -2.1797 0.3462 0.3586 0.2823 0.2886 0.2084 8.8599 0.2961 0.2967 6.1967 0.2687 0.259 1.433 0.3705 0.3061 6.4777 0.5329 0.31 4.8074 0.2824 0.28
VCC1545 -1.9246 0.3991 0.3909 0.3266 0.2797 0.2281 9.1213 0.3135 0.31 6.3528 0.2587 0.2795 1.4026 0.3737 0.2858 6.836 0.5256 0.3873 4.5827 0.294 0.2859
VCC1192 -2.3191 0.4251 0.4146 0.9401 0.0397 0.1264 9.2596 0.3032 0.284 6.6469 0.3017 0.2923 1.4839 0.324 0.3485 7.4576 0.2458 0.3611 4.8706 0.3048 0.3027
VCC1857 -1.7627 0.3735 0.3823 0.4342 0.2699 0.2833 8.8869 0.2866 0.3111 6.5573 0.2853 0.2877 1.5179 0.3226 0.3338 7.2752 0.3446 0.4402 4.8014 0.2996 0.2792
VCC1075 -2.0835 0.3977 0.3596 0.4774 0.291 0.3096 9.0585 0.2958 0.2973 6.3721 0.2778 0.2889 1.5014 0.3339 0.3384 7.1573 0.4536 0.4886 4.7653 0.2769 0.2624
VCC1948 -2.1633 0.3496 0.3503 0.2475 0.2947 0.1827 8.691 0.2774 0.3025 6.0987 0.2545 0.2624 1.4814 0.3491 0.3192 6.3227 0.5444 0.2982 4.7875 0.2707 0.3126
VCC1627 -1.2402 0.4174 0.4051 0.8532 0.097 0.2614 9.0309 0.3104 0.2765 7.2523 0.2805 0.2802 1.5418 0.326 0.3697 7.6259 0.1203 0.1226 4.9112 0.2915 0.2939
VCC1440 -1.7867 0.3774 0.4388 0.7275 0.1765 0.3561 9.0694 0.2965 0.3077 5.9836 0.2887 0.2917 1.5501 0.3119 0.3541 7.3197 0.3405 0.5707 4.7371 0.2811 0.2984
VCC230 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
VCC2050 -1.9145 0.3795 0.3882 0.4728 0.2751 0.2971 8.447 0.3143 0.2919 6.3012 0.2869 0.2917 1.5192 0.3455 0.3432 7.1442 0.4685 0.5241 4.684 0.2798 0.2691
VCC751 -2.1913 0.4383 0.3956 0.4823 0.2774 0.3009 9.0979 0.3345 0.3194 5.9632 0.2939 0.2867 1.5319 0.3337 0.3678 7.0346 0.5215 0.5945 5.0916 0.3059 0.2804
VCC1828 -2.0405 0.3961 0.4217 0.5837 0.2273 0.3371 9.0588 0.3271 0.3022 7.1422 0.282 0.2846 1.4531 0.3533 0.3002 7.5399 0.1758 0.1878 4.9057 0.2861 0.294
VCC538 -1.9667 0.4164 0.3938 0.584 0.2374 0.3625 8.7986 0.2922 0.287 5.9337 0.2842 0.3059 1.5155 0.3309 0.3357 7.0987 0.5003 0.6529 4.9814 0.302 0.2916
VCC1407 -1.8809 0.3643 0.3628 0.4891 0.3032 0.3071 9.1023 0.2969 0.3134 6.0704 0.2669 0.2746 1.4562 0.3817 0.3141 7.0866 0.4811 0.5715 4.7243 0.303 0.3058
VCC1886 -1.9626 0.3754 0.3646 0.4018 0.3083 0.2666 8.694 0.3034 0.2989 6.2421 0.2884 0.2882 1.4921 0.3523 0.3383 7.1291 0.4558 0.5257 4.9819 0.2723 0.2729
VCC1199 -1.6903 0.4228 0.4078 0.9163 0.0545 0.1776 8.7357 0.2882 0.3128 6.9258 0.2755 0.2951 1.5309 0.3171 0.3522 7.5557 0.1764 0.2632 4.741 0.3009 0.3024
VCC1539 -1.5121 0.3596 0.3837 0.517 0.2555 0.3324 8.7196 0.2929 0.2939 6.5379 0.2889 0.2791 1.455 0.3722 0.3107 7.2954 0.3475 0.4467 4.8727 0.2686 0.2832
VCC1185 -1.948 0.424 0.4378 0.4973 0.2904 0.3189 8.9251 0.3276 0.3461 6.0953 0.2819 0.2763 1.5069 0.3547 0.3401 7.116 0.461 0.5989 4.8461 0.308 0.2834
VCC1826 -1.6093 0.3836 0.3871 0.6744 0.2018 0.3749 8.7829 0.2919 0.2808 6.1736 0.2857 0.2926 1.5176 0.3299 0.357 7.3225 0.3394 0.5295 5.022 0.299 0.2897
VCC1489 -1.773 0.3686 0.3476 0.3521 0.295 0.2364 8.471 0.2904 0.2917 6.1073 0.2817 0.2726 1.4629 0.3549 0.3065 6.757 0.6213 0.5045 4.8047 0.2738 0.2836
VCC1661 -1.811 0.3894 0.3956 0.7506 0.1591 0.3503 8.626 0.3096 0.297 5.9338 0.2784 0.2955 1.4721 0.3415 0.3213 7.2468 0.3919 0.6126 4.8059 0.2931 0.3119
